time(ms)	collision count
0,001202000	14,000000000
0,001202320	12,000000000
0,001202640	13,000000000
0,001202960	14,000000000
0,001203280	15,000000000
0,001203600	12,000000000
0,001203920	14,000000000
0,001204240	13,000000000
0,001204560	15,000000000
0,001204880	14,000000000
0,001205200	15,000000000
0,001205520	14,000000000
0,001205840	14,000000000
0,001206160	14,000000000
0,001206480	15,000000000
0,001206800	17,000000000
0,001207120	16,000000000
0,001207440	15,000000000
0,001207760	16,000000000
0,001208080	16,000000000
0,001208400	16,000000000
0,001208720	13,000000000
0,001209040	15,000000000
0,001209360	12,000000000
0,001209680	12,000000000
0,001210000	12,000000000
0,001210320	13,000000000
0,001210640	14,000000000
0,001210960	14,000000000
0,001211280	14,000000000
0,001211600	14,000000000
0,001211920	14,000000000
0,001212240	15,000000000
0,001212560	16,000000000
0,001212880	15,000000000
0,001213200	15,000000000
0,001213520	14,000000000
0,001213840	16,000000000
0,001214160	13,000000000
0,001214480	15,000000000
0,001214800	15,000000000
0,001215120	15,000000000
0,001215440	12,000000000
0,001215760	15,000000000
0,001216080	14,000000000
0,001216400	13,000000000
0,001216720	10,000000000
0,001217040	12,000000000
0,001217360	11,000000000
0,001217680	11,000000000
0,001218000	13,000000000
0,001218320	14,000000000
0,001218640	13,000000000
0,001218960	15,000000000
0,001219280	15,000000000
0,001219600	12,000000000
0,001219920	10,000000000
0,001220240	13,000000000
0,001220560	12,000000000
0,001220880	10,000000000
0,001221200	10,000000000
0,001221520	12,000000000
0,001221840	10,000000000
0,001222160	11,000000000
0,001222480	14,000000000
0,001222800	14,000000000
0,001223120	14,000000000
0,001223440	15,000000000
0,001223760	14,000000000
0,001224080	12,000000000
0,001224400	14,000000000
0,001224720	13,000000000
0,001225040	13,000000000
0,001225360	12,000000000
0,001225680	10,000000000
0,001226000	11,000000000
0,001226320	11,000000000
0,001226640	11,000000000
0,001226960	12,000000000
0,001227280	13,000000000
0,001227600	14,000000000
0,001227920	14,000000000
0,001228240	14,000000000
0,001228560	14,000000000
0,001228880	15,000000000
0,001229200	14,000000000
0,001229520	13,000000000
0,001229840	11,000000000
0,001230160	13,000000000
0,001230480	12,000000000
0,001230800	12,000000000
0,001231120	13,000000000
0,001231440	12,000000000
0,001231760	11,000000000
0,001232080	12,000000000
0,001232400	13,000000000
0,001232720	12,000000000
0,001233040	13,000000000
0,001233360	12,000000000
0,001233680	14,000000000
0,001234000	12,000000000
0,001234320	12,000000000
0,001234640	12,000000000
0,001234960	9,000000000
0,001235280	11,000000000
0,001235600	11,000000000
0,001235920	10,000000000
0,001236240	6,000000000
0,001236560	4,000000000
0,001236880	4,000000000
0,001237200	5,000000000
0,001237520	6,000000000
0,001237840	7,000000000
0,001238160	6,000000000
0,001238480	6,000000000
0,001238800	5,000000000
0,001239120	5,000000000
0,001239440	5,000000000
0,001239760	8,000000000
0,001240080	12,000000000
0,001240400	11,000000000
0,001240720	13,000000000
0,001241040	13,000000000
0,001241360	16,000000000
0,001241680	15,000000000
0,001242000	19,000000000
0,001242320	19,000000000
0,001242640	18,000000000
0,001242960	18,000000000
0,001243280	18,000000000
0,001243600	22,000000000
0,001243920	18,000000000
0,001244240	19,000000000
0,001244560	16,000000000
0,001244880	16,000000000
0,001245200	17,000000000
0,001245520	17,000000000
0,001245840	18,000000000
0,001246160	17,000000000
0,001246480	19,000000000
0,001246800	18,000000000
0,001247120	16,000000000
0,001247440	16,000000000
0,001247760	14,000000000
0,001248080	12,000000000
0,001248400	12,000000000
0,001248720	12,000000000
0,001249040	9,000000000
0,001249360	12,000000000
0,001249680	11,000000000
0,001250000	12,000000000
0,001250320	13,000000000
0,001250640	14,000000000
0,001250960	13,000000000
0,001251280	13,000000000
0,001251600	14,000000000
0,001251920	13,000000000
0,001252240	13,000000000
0,001252560	14,000000000
0,001252880	16,000000000
0,001253200	15,000000000
0,001253520	16,000000000
0,001253840	16,000000000
0,001254160	15,000000000
0,001254480	15,000000000
0,001254800	14,000000000
0,001255120	12,000000000
0,001255440	13,000000000
0,001255760	16,000000000
0,001256080	14,000000000
0,001256400	13,000000000
0,001256720	12,000000000
0,001257040	12,000000000
0,001257360	12,000000000
0,001257680	15,000000000
0,001258000	15,000000000
0,001258320	16,000000000
0,001258640	18,000000000
0,001258960	19,000000000
0,001259280	21,000000000
0,001259600	20,000000000
0,001259920	22,000000000
0,001260240	22,000000000
0,001260560	21,000000000
0,001260880	22,000000000
0,001261200	20,000000000
0,001261520	20,000000000
0,001261840	19,000000000
0,001262160	19,000000000
0,001262480	17,000000000
0,001262800	18,000000000
0,001263120	15,000000000
0,001263440	14,000000000
0,001263760	15,000000000
0,001264080	14,000000000
0,001264400	13,000000000
0,001264720	10,000000000
0,001265040	9,000000000
0,001265360	12,000000000
0,001265680	12,000000000
0,001266000	17,000000000
0,001266320	15,000000000
0,001266640	18,000000000
0,001266960	17,000000000
0,001267280	17,000000000
0,001267600	17,000000000
0,001267920	17,000000000
0,001268240	15,000000000
0,001268560	14,000000000
0,001268880	15,000000000
0,001269200	14,000000000
0,001269520	15,000000000
0,001269840	13,000000000
0,001270160	14,000000000
0,001270480	12,000000000
0,001270800	13,000000000
0,001271120	10,000000000
0,001271440	10,000000000
0,001271760	11,000000000
0,001272080	11,000000000
0,001272400	14,000000000
0,001272720	14,000000000
0,001273040	13,000000000
0,001273360	18,000000000
0,001273680	18,000000000
0,001274000	17,000000000
0,001274320	18,000000000
0,001274640	16,000000000
0,001274960	16,000000000
0,001275280	18,000000000
0,001275600	18,000000000
0,001275920	20,000000000
0,001276240	18,000000000
0,001276560	19,000000000
0,001276880	20,000000000
0,001277200	20,000000000
0,001277520	19,000000000
0,001277840	16,000000000
0,001278160	13,000000000
0,001278480	11,000000000
0,001278800	13,000000000
0,001279120	12,000000000
0,001279440	11,000000000
0,001279760	12,000000000
0,001280080	14,000000000
0,001280400	14,000000000
0,001280720	14,000000000
0,001281040	13,000000000
0,001281360	15,000000000
0,001281680	17,000000000
0,001282000	22,000000000
0,001282320	19,000000000
0,001282640	17,000000000
0,001282960	14,000000000
0,001283280	15,000000000
0,001283600	15,000000000
0,001283920	14,000000000
0,001284240	15,000000000
0,001284560	16,000000000
0,001284880	16,000000000
0,001285200	16,000000000
0,001285520	17,000000000
0,001285840	18,000000000
0,001286160	15,000000000
0,001286480	15,000000000
0,001286800	15,000000000
0,001287120	17,000000000
0,001287440	18,000000000
0,001287760	17,000000000
0,001288080	16,000000000
0,001288400	15,000000000
0,001288720	17,000000000
0,001289040	16,000000000
0,001289360	16,000000000
0,001289680	16,000000000
0,001290000	15,000000000
0,001290320	15,000000000
0,001290640	15,000000000
0,001290960	15,000000000
0,001291280	18,000000000
0,001291600	18,000000000
0,001291920	11,000000000
0,001292240	11,000000000
0,001292560	13,000000000
0,001292880	9,000000000
0,001293200	11,000000000
0,001293520	11,000000000
0,001293840	11,000000000
0,001294160	9,000000000
0,001294480	10,000000000
0,001294800	11,000000000
0,001295120	11,000000000
0,001295440	12,000000000
0,001295760	12,000000000
0,001296080	11,000000000
0,001296400	11,000000000
0,001296720	10,000000000
0,001297040	10,000000000
0,001297360	10,000000000
0,001297680	12,000000000
0,001298000	14,000000000
0,001298320	14,000000000
0,001298640	15,000000000
0,001298960	16,000000000
0,001299280	17,000000000
0,001299600	16,000000000
0,001299920	15,000000000
0,001300240	17,000000000
0,001300560	19,000000000
0,001300880	20,000000000
0,001301200	17,000000000
0,001301520	17,000000000
0,001301840	15,000000000
0,001302160	15,000000000
0,001302480	15,000000000
0,001302800	14,000000000
0,001303120	15,000000000
0,001303440	14,000000000
0,001303760	13,000000000
0,001304080	12,000000000
0,001304400	13,000000000
0,001304720	17,000000000
0,001305040	17,000000000
0,001305360	16,000000000
0,001305680	14,000000000
0,001306000	16,000000000
0,001306320	17,000000000
0,001306640	19,000000000
0,001306960	17,000000000
0,001307280	18,000000000
0,001307600	18,000000000
0,001307920	20,000000000
0,001308240	19,000000000
0,001308560	17,000000000
0,001308880	17,000000000
0,001309200	15,000000000
0,001309520	15,000000000
0,001309840	15,000000000
0,001310160	15,000000000
0,001310480	18,000000000
0,001310800	17,000000000
0,001311120	17,000000000
